m,n,o,num_images,chi2,source_x,source_y,pos_rms,mag_rms,avg_mag_per,pos_A,mag_A,mag_err_A,mag_per_A,pos_B,mag_B,mag_err_B,mag_per_B,pos_C,mag_C,mag_err_C,mag_per_C,pos_D,mag_D,mag_err_D,mag_per_D,"POW_$z_{s,fid}$",POW_x,POW_y,POW_e,POW_$θ_{e}$,POW_$r_{Ein}$,POW_$\gamma$ (PWI)
1.5,0.43636,0.0,4,3.12565,0.1024973,0.03793244,0.002372235232855293,61.47280922601065,670.7904935069228,0.00044721359549995833,-65.3706,-76.1366,507.19487274753857,0.004701063709417266,17.7641,15.704099999999999,762.3349514563106,0.00044721359549995833,-57.0953,-67.3713,455.6179447255741,9.99999999999994e-05,108.7427,98.4647,958.014205098268,1.0,0.1235803,0.03771311,0.07187913,-1.422667,0.4786157,1.561217
1.5,0.44545,0.0,4,3.130366,0.1012835,0.03794828,0.002372235232855293,49.60534370506367,541.2963629499495,0.00044721359549995833,-54.1818,-64.9478,403.2676945940926,0.004701063709417266,14.8695,12.8095,621.8203883495146,0.00044721359549995833,-47.3085,-57.584500000000006,360.37855196574543,9.99999999999994e-05,90.4175,80.1395,779.7188168904456,1.0,0.124798,0.03770284,0.0812843,-1.42204,0.4786691,1.606331
1.5,0.45455,0.0,5,3.120798,0.103905,0.03792117,0.002372235232855293,81.38845826198269,887.7012806712528,0.00044721359549995833,-84.1414,-94.90740000000001,681.5474642392718,0.004701063709417266,22.595,20.535,996.8446601941748,0.00044721359549995833,-73.5143,-83.7903,615.3980147917479,9.99999999999994e-05,139.474,129.196,1257.0149834598171,1.0,0.1221464,0.03773181,0.06116044,-1.423989,0.4785567,1.504905
1.5,0.46364,0.0,5,3.120381,0.1040228,0.0379176,0.002372235232855293,83.39953328619411,909.5920203775447,0.00044721359549995833,-86.0365,-96.80250000000001,699.1501021735091,0.004701063709417266,23.082,21.022000000000002,1020.485436893204,0.00044721359549995833,-75.1726,-85.4486,631.5356169715843,9.99999999999994e-05,142.5761,132.2981,1287.1969254718817,1.0,0.1220356,0.0377306,0.06031038,-1.424209,0.478551,1.50012
1.5,0.47273,0.0,0,349.0796,0.09194782,0.03663965,,,,,,,,,,,,,,,,,,,,1.0,0.09195174,0.03663843,3.022915e-05,-26.49827,0.4808355,2.18992
1.5,0.48182,0.0,4,3.125151,0.1026446,0.03793167,0.002372235232855293,63.3764138266753,691.5249578580281,0.00044721359549995833,-67.1647,-77.9307,523.8593720973435,0.004701063709417266,18.2257,16.1657,784.742718446602,0.00044721359549995833,-58.6647,-68.9407,470.8904242896069,9.99999999999994e-05,111.6815,101.4035,986.6073165985599,1.0,0.1233993,0.03771562,0.07062499,-1.423234,0.478616,1.555039
1.5,0.49091,0.0,5,3.120567,0.1039674,0.03791803,0.0023685438564654024,82.5749361707746,900.6042306855104,0.0003605551275463592,-85.2593,-96.0253,691.9310793237971,0.004701063709417266,22.8813,20.8213,1010.7427184466019,0.00044721359549995833,-74.4927,-84.7687,624.9192292720903,9.99999999999994e-05,141.3044,131.0264,1274.8238956995524,1.0,0.1220711,0.03773015,0.06064868,-1.423866,0.4785592,1.502152
1.5,0.5,0.0,0,345.7459,0.09199078,0.03672249,,,,,,,,,,,,,,,,,,,,1.0,0.09199387,0.03672158,1.579385e-05,-26.1501,0.4807049,1.501727
1.5,0.50909,0.0,4,3.157795,0.09574598,0.03799557,0.002421776207662466,22.33851503580755,242.19745389854603,0.00044721359549995833,-28.4089,-39.1749,163.8760913988482,0.0048010415536631195,8.1359,6.075899999999999,294.94660194174753,0.00044721359549995833,-24.7694,-35.0454,141.04126119112496,9.99999999999994e-05,48.1962,37.9182,368.9258610624635,1.0,0.1304791,0.03762768,0.1271461,-1.415208,0.478961,1.78084
1.5,0.51818,0.0,0,349.0829,0.09192188,0.03661943,,,,,,,,,,,,,,,,,,,,1.0,0.09193098,0.03661782,5.382465e-05,-18.4015,0.4808299,2.196238
1.5,0.52727,0.0,4,3.129803,0.1014544,0.03794068,0.002372235232855293,50.983114490829216,556.3509136832581,0.00044721359549995833,-55.481,-66.247,415.3353148801783,0.004701063709417266,15.207,13.147,638.2038834951456,0.00044721359549995833,-48.4453,-58.7213,371.441222265473,9.99999999999994e-05,92.5455,82.2675,800.4232340922357,1.0,0.1246451,0.03769903,0.08002104,-1.421431,0.4786526,1.60045
1.5,0.53636,0.0,4,3.124823,0.1027285,0.03793438,0.0023685438564654024,64.3252980774866,701.8699348117656,0.0003605551275463592,-68.0595,-78.8255,532.170722645365,0.004701063709417266,18.4566,16.396600000000003,795.9514563106798,0.00044721359549995833,-59.4469,-69.7229,478.50233553912034,9.99999999999994e-05,113.1459,102.86789999999999,1000.855224751897,1.0,0.1233235,0.03772,0.07001902,-1.423411,0.4786109,1.552038
1.5,0.54545,0.0,4,3.133185,0.1006018,0.03795269,0.002372235232855293,44.31750440077261,483.5216668621084,0.00044721359549995833,-49.1938,-59.9598,356.93665242429876,0.004701063709417266,13.5754,11.5154,559.0,0.00044721359549995833,-42.9462,-53.2222,317.9272090307512,9.99999999999994e-05,82.2469,71.96889999999999,700.2228059933838,1.0,0.1254947,0.03769238,0.08670088,-1.421566,0.4787015,1.63042
1.5,0.55455,0.0,4,3.142423,0.09861591,0.03797144,0.002372235232855293,32.69822317099203,356.28400125592765,0.00044721359549995833,-38.223,-48.989,255.0343674530931,0.004701063709417266,10.7162,8.6562,420.20388349514565,0.00044721359549995833,-33.3516,-43.6276,224.55819384974694,9.99999999999994e-05,64.2724,53.994400000000006,525.3395602257249,1.0,0.1275605,0.0376674,0.1029966,-1.419183,0.478794,1.696766
1.5,0.56364,0.0,4,3.181659,0.09206485,0.03803774,0.0024212600025606498,14.514570060201578,155.01434907890845,0.00044721359549995833,-20.9297,-31.695700000000002,94.40553594649825,0.004799999999999999,6.1472,4.087199999999999,198.4077669902912,0.00044721359549995833,-18.2292,-28.5052,77.3958738808875,9.99999999999994e-05,35.9574,25.6794,249.84821949795682,1.0,0.1342657,0.03758396,0.1596517,-1.410422,0.4792102,1.873881
1.5,0.57273,0.0,4,3.148568,0.09739512,0.03797897,0.002421776207662466,27.685468265590163,301.1844011733927,0.00044721359549995833,-33.4804,-44.2464,210.98272338844515,0.0048010415536631195,9.472,7.411999999999999,359.8058252427184,0.00044721359549995833,-29.2043,-39.4803,184.1991047100039,9.99999999999994e-05,56.5033,46.225300000000004,449.74995135240323,1.0,0.128772,0.03764822,0.113022,-1.417595,0.4788673,1.733561
1.5,0.58182,0.0,4,3.195015,0.09031635,0.03805938,0.002421776207662466,11.980485561737469,126.30193674067019,0.00044721359549995833,-18.4715,-29.237499999999997,71.57254319152888,0.0048010415536631195,5.4874,3.4274,166.37864077669903,0.00044721359549995833,-16.0796,-26.3556,56.47722849357726,9.99999999999994e-05,31.9419,21.663899999999998,210.77933450087562,1.0,0.136133,0.03756306,0.1758698,-1.407444,0.4793299,1.913592
1.5,0.59091,0.0,5,3.121027,0.1038025,0.03791923,0.002372235232855293,79.60156964798182,868.2545911163643,0.00044721359549995833,-82.4571,-93.2231,665.9028422812557,0.004701063709417266,22.1626,20.102600000000002,975.8543689320388,0.00044721359549995833,-72.0416,-82.3176,601.0665628649281,9.99999999999994e-05,136.7174,126.43939999999999,1230.1945903872347,1.0,0.1222541,0.03772761,0.06194412,-1.424017,0.4785595,1.509268
1.5,0.6,0.0,4,3.157324,0.09582624,0.03799846,0.0024212600025606498,22.58722686995905,244.9510528479458,0.00044721359549995833,-28.6452,-39.4112,166.07096414638676,0.004799999999999999,8.1986,6.1386,297.99029126213594,0.00044721359549995833,-24.9759,-35.2519,143.0507979758661,9.99999999999994e-05,48.5833,38.3053,372.6921580073944,1.0,0.130389,0.03763234,0.1264014,-1.415625,0.4789706,1.778214
